#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_3	4012340	29	N	N	1	*	4,7,3,19
contig_11	503677	29	N	N	1	*	29,-6,-5,11,-21,-21
contig_9	219038	27	N	N	1	*	-28,9,5,6,-29
contig_30	70830	59	Y	Y	2	*	30
contig_2	48138	38	N	N	1	*	-8,29,-6,2,17,17,-15,*
contig_20	40094	26	N	N	1	*	20
contig_12	22173	26	N	N	1	*	-28,12,-14,-14
contig_28	18188	30	N	Y	1	*	28
contig_16	4167	18	Y	Y	1	2	16
contig_13	3559	20	N	Y	1	*	13,*
contig_22	3433	195	N	Y	7	*	22
contig_18	958	7	Y	Y	1	*	18
contig_25	936	24	N	Y	1	*	25
contig_23	818	189	N	Y	6	*	23
contig_26	692	28	N	Y	1	*	26
contig_24	686	20	Y	Y	1	*	24
contig_1	569	56	Y	Y	2	*	1
