#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_20	1594641	15	N	N	1	*	20
contig_6	1154180	15	N	N	1	*	*,6,-11,-10,17
contig_9	636227	15	N	N	1	*	-13,-4,9
contig_16	389001	15	N	N	1	*	-17,10,11,16,-21
contig_18	335686	14	N	N	1	*	-13,-4,7,18,21
contig_1	221304	15	N	N	1	*	*,1,2,4,13
contig_32	210253	14	Y	N	1	*	32
contig_5	174153	14	N	N	1	*	-13,-4,5,-12,-11,-10,-10,17
contig_15	97702	16	N	N	1	*	-17,10,11,15,-8,4,13,-7,4,13
contig_19	71371	12	N	N	1	*	3,11,14,19,*
contig_28	59876	15	N	N	1	*	*,28,*
contig_21	54843	40	N	Y	3	*	21
contig_22	8601	27	N	Y	2	*	22
contig_3	6575	13	N	Y	1	*	3
contig_25	5214	14	N	Y	1	4	*,25,*
contig_31	4650	97	Y	Y	7	*	31
contig_24	2333	3	N	Y	1	2	*,24,*
contig_29	2167	60	N	Y	4	8	*,29,*
contig_26	776	6	N	Y	1	6	*,26,*
