#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_10	1322130	14	N	N	1	*	10,-19,14,15,15,15
contig_2	896790	14	N	N	1	*	-7,-23,2,-11,-8,9
contig_24	636247	14	N	N	1	*	24
contig_3	457365	14	N	N	1	*	*,3
contig_18	432392	14	N	N	1	*	18,*
contig_13	428518	14	N	N	1	*	-9,8,11,13,15,15,25,25,16,15,15
contig_20	293868	14	N	N	1	*	-15,-15,-16,-25,-15,-15,20,*
contig_5	254408	13	N	N	1	*	26,5,*
contig_4	224575	14	N	N	1	*	-15,17,-15,-15,-16,-25,-15,-15,-14,19,4
contig_22	79503	62	Y	Y	4	*	22
contig_12	63395	13	N	N	1	*	-9,8,12
contig_6	19200	13	N	N	1	*	-7,-23,6,-19,14,15,15,25,16,15,15,15
contig_1	16280	41	Y	Y	3	*	1
contig_21	3134	3	Y	Y	1	2	21
