#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_3	2764998	28	N	N	1	*	25,25,-2,3,-27,26,28
contig_4	1051148	28	N	N	1	*	17,35,35,18,4,34
contig_13	562570	29	N	N	1	*	-23,13
contig_5	406267	28	N	N	1	*	34,-10,-9,-8,-7,-6,5
contig_37	70830	56	Y	Y	2	*	37
contig_24	20122	22	N	N	1	*	-23,24,26,28,-16
contig_34	18243	29	N	Y	1	*	34
contig_16	15468	22	N	Y	1	*	16
contig_30	13062	171	Y	Y	7	*	30
contig_15	9225	19	N	N	1	*	-34,15
contig_14	7245	25	N	Y	1	*	14
contig_38	4167	259	Y	Y	9	*	38
contig_36	3583	7	Y	Y	1	*	36
contig_1	3559	18	N	Y	1	*	1
contig_11	1128	23	N	Y	1	*	11
contig_21	985	20	Y	Y	1	*	21
contig_22	798	43	Y	Y	1	*	22
contig_12	663	6	N	Y	1	*	12
contig_32	605	26	Y	Y	1	*	32
contig_31	602	81	Y	Y	3	*	31
contig_33	544	51	Y	Y	2	*	33
contig_19	537	42	Y	Y	1	*	19
contig_20	500	21	Y	Y	1	*	20
