chromosome	5696	125823683
junk_seq	85	1161735
p00_len07590_cp08	59	216277
p01_len07768_cp15	116	522174
p02_len07980_cp25	191	791236
p03_len08236_cp08	72	317306
p04_len08398_cp15	99	473160
p05_len08401_cp25	198	968956
p06_len08401_cp08	58	252678
p07_len08622_cp15	122	543758
p08_len08828_cp25	227	1097665
p09_len09083_cp08	74	369500
p10_len09250_cp15	131	670367
p11_len09294_cp25	201	981589
p12_len09294_cp08	86	427384
p13_len09294_cp15	112	593683
p14_len09396_cp25	240	1368564
p15_len09639_cp08	82	376385
p16_len09730_cp15	143	766762
p17_len10046_cp25	224	1230626
p18_len10060_cp08	65	366888
p19_len10060_cp15	141	811179
p20_len10060_cp25	212	1206266
p21_len10494_cp08	72	436711
p22_len10650_cp15	166	1009915
p23_len10802_cp25	270	1789760
p24_len11246_cp08	82	538897
p25_len11675_cp15	184	1412702
p26_len11857_cp25	313	2512869
random_seq	88	1408070
