#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_9	1586742	14	N	N	1	*	*,9
contig_11	1249537	14	N	N	1	*	11,*
contig_10	1248750	15	N	N	1	*	10,*
contig_3	977182	13	N	N	1	*	3
contig_2	193126	14	N	N	1	*	2
contig_13	192731	15	Y	N	1	*	13
contig_17	59598	71	Y	Y	5	*	17
contig_15	54593	52	Y	Y	4	*	15
contig_14	34326	15	N	N	1	*	14
contig_12	18127	3	N	N	1	*	*,12,*
contig_16	11563	60	Y	Y	4	*	16
contig_1	6221	6	N	N	1	*	*,1,*
contig_7	5175	4	N	N	1	*	*,7,*
contig_8	4927	4	N	N	1	*	*,8,*
contig_6	4777	5	N	N	1	*	*,6,*
contig_18	4479	5	Y	Y	1	*	18
contig_5	899	25	Y	Y	2	*	5
contig_4	538	14	Y	Y	1	*	4
