#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_4	4752788	13	Y	N	1	*	4
contig_5	52455	5	N	N	1	*	*,5,*
contig_10	20024	34	Y	N	3	*	10
contig_1	18854	15	N	N	2	*	*,1,*
contig_17	18783	37	Y	N	3	*	17
contig_13	17934	46	Y	N	3	*	13
contig_7	16547	33	N	N	4	*	*,7,*
contig_8	11856	103	Y	Y	8	*	8
contig_14	11675	59	Y	Y	4	*	14
contig_6	11246	19	Y	N	1	*	6
contig_16	10802	83	Y	Y	7	*	16
contig_9	10046	63	Y	Y	4	*	9
contig_15	9730	34	Y	N	1	*	15
contig_2	9638	19	Y	N	2	*	2
contig_12	9100	15	Y	N	2	*	12
contig_11	8828	64	Y	N	4	*	11
contig_3	5324	101	Y	Y	7	*	3
