#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_16	1403566	14	N	N	1	*	-20,-17,22,16
contig_15	1249831	13	N	N	1	*	23,-28,-28,-26,15
contig_9	922456	13	N	N	1	*	9
contig_25	887443	14	N	N	1	*	-26,-24,25,*
contig_10	412660	14	N	N	1	*	-2,-8,10
contig_29	159541	29	Y	Y	2	*	29
contig_2	95455	34	N	Y	2	*	2
contig_27	55374	91	Y	Y	6	*	27
contig_19	22955	13	N	N	1	*	19,24,26,28,-23
contig_7	17716	3	N	Y	1	6	*,7,*
contig_1	11509	26	N	Y	2	2	*,1,*
contig_6	9539	19	N	Y	1	6	*,6,*
contig_12	6260	3	N	Y	1	8	*,12,*
contig_11	5580	13	N	Y	1	8	*,11,*
contig_4	3625	9	N	Y	1	4	*,4,*
contig_14	2732	18	N	Y	1	10	*,14,*
contig_21	1643	4	N	Y	1	*	21
