segment,seg_len,node_positive,mechanisms
edge_1,2039,0,
edge_2,4697,0,
edge_3,80140,0,
edge_4,11508,0,
edge_5,6441,0,
edge_6,1349733,0,
edge_7,3624,0,
edge_8,5468,0,
edge_9,9634,0,
edge_10,19263,0,
edge_11,965,0,
edge_12,951,0,
edge_13,3901,0,
edge_14,2121183,0,
edge_15,6684,0,
edge_16,5547,0,
edge_17,1366279,0,
edge_18,642,0,
edge_19,701,0,
edge_20,5416,0,
edge_21,2556,0,
edge_22,526,0,
edge_23,1042,0,
edge_24,1850,0,
edge_25,776,0,
edge_26,2962,0,
edge_27,9266,0,
edge_28,2212,0,
edge_29,4033,0,
edge_30,2874,0,
edge_31,55368,0,
edge_32,4099,0,
edge_33,5803,0,
edge_34,159543,0,
