segment,seg_len,node_positive,mechanisms
edge_1,3559,0,
edge_2,1066,0,
edge_3,2746852,0,
edge_4,1022648,0,
edge_5,392179,0,
edge_6,576,0,
edge_7,636,0,
edge_8,1619,0,
edge_9,562,0,
edge_10,1914,0,
edge_11,1128,0,
edge_12,661,0,
edge_13,560262,0,
edge_14,7240,0,
edge_15,2537,0,
edge_16,15468,0,
edge_17,2855,0,
edge_18,552,0,
edge_19,537,0,
edge_20,510,0,
edge_21,979,0,
edge_22,795,0,
edge_23,2308,0,
edge_24,5588,0,
edge_25,3358,0,
edge_26,914,0,
edge_27,4271,0,
edge_28,5109,0,
edge_29,7377,0,
edge_30,13062,1,absorbed
edge_31,581,0,
edge_32,600,0,
edge_33,524,0,
edge_34,18243,0,
edge_35,5043,0,
edge_36,3579,0,
edge_37,70830,0,
edge_38,4167,0,
