segment,seg_len,node_positive,mechanisms
edge_1,212283,0,
edge_2,7348,0,
edge_3,6575,0,
edge_4,872,0,
edge_5,164467,0,
edge_6,1151802,0,
edge_7,1146,0,
edge_8,2482,0,
edge_9,633203,0,
edge_10,861,0,
edge_11,956,0,
edge_12,3190,0,
edge_13,2157,0,
edge_14,4057,0,
edge_15,85578,0,
edge_16,369709,0,
edge_17,537,0,
edge_18,325805,0,
edge_19,62372,0,
edge_20,1594641,0,
edge_21,54843,1,fragmented
edge_22,8601,1,fragmented
edge_23,1505,0,
edge_24,2333,0,
edge_25,5214,0,
edge_26,778,0,
edge_27,787,0,
edge_28,59876,0,
edge_29,2167,0,
edge_30,2241,0,
edge_31,4650,0,
edge_32,210253,0,
edge_33,4069,0,
