#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_16	1228095	14	N	N	1	*	7,19,21,16,-19,-18,-28
contig_12	1221753	15	N	N	1	*	12
contig_22	1121658	15	N	N	1	*	-5,-4,7,22,-27,14
contig_2	626915	14	N	N	1	*	2,3,5,9,11
contig_15	567859	14	N	N	1	*	-28,-14,17,15,-13,-13
contig_10	187057	14	N	N	1	*	8,10,11,13
contig_26	55634	68	N	Y	5	*	26
contig_1	54230	15	N	N	1	*	1,3,4,5,8
contig_6	10792	9	N	N	1	*	6,-27,14,28
contig_20	2758	3	N	Y	1	*	20
contig_24	2408	34	N	Y	2	2	*,24,*
contig_23	1394	31	Y	Y	1	*	23
