#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_3	1552424	14	N	N	1	*	1,3,33
contig_6	1392964	14	N	N	1	*	-24,-24,-23,6
contig_5	1193120	14	N	N	1	*	5,-33
contig_4	360641	15	N	N	1	*	10,11,8,9,8,9,16,4
contig_13	223966	15	N	N	1	*	10,11,8,10,11,8,9,12,13,-32
contig_35	70830	28	Y	Y	2	*	35
contig_15	41564	11	N	N	1	*	7,10,8,9,15
contig_2	39388	15	N	N	1	*	7,10,11,8,9,2,23,24,25
contig_33	27091	11	N	Y	1	*	33
contig_32	18052	16	N	Y	1	*	32
contig_34	8009	189	Y	Y	14	*	34
contig_18	7907	12	N	N	1	*	18,-32
contig_29	7831	3	N	N	1	*	*,29,*
contig_36	4167	139	Y	Y	10	*	36
contig_27	4126	5	N	N	1	*	*,27,*
contig_21	4063	7	N	N	1	*	*,21,*
contig_26	1732	3	N	Y	1	*	26
contig_14	1089	7	N	Y	1	*	14
contig_28	629	3	Y	Y	1	*	28
