#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_14	2139814	27	N	N	1	*	-15,14,30,-23,32,24,-26
contig_17	1371811	27	N	N	1	*	20,29,17,-20
contig_6	1369020	27	N	N	1	*	-20,23,6,3
contig_34	159543	57	Y	Y	2	*	34
contig_3	80140	62	N	Y	1	*	3
contig_31	55368	175	Y	Y	6	*	31
contig_27	30675	40	N	N	2	*	-24,18,-32,27,-21,26,-25,32,-18,-18,22,-23,20
contig_16	20713	9	N	N	1	*	16,3
contig_10	19263	8	N	Y	1	10	*,10,*
contig_33	18180	31	N	N	1	*	-20,23,-30,33,-21,26
contig_12	12199	47	N	N	2	*	3,12,13,-15
contig_4	11508	47	N	Y	1	6	*,4,*
contig_9	9634	47	N	Y	1	10	*,9,*
contig_20	5325	82	N	Y	3	*	20
contig_7	3624	18	N	Y	1	8	*,7,*
contig_1	2039	25	N	Y	1	4	*,1,*
contig_11	965	20	N	Y	1	*	11
contig_19	701	22	N	Y	1	*	19
