segment,seg_len,node_positive,mechanisms
edge_1,11509,0,
edge_2,95455,0,
edge_3,6443,0,
edge_4,3625,0,
edge_5,5454,0,
edge_6,9539,0,
edge_7,18091,0,
edge_8,543,0,
edge_9,922456,0,
edge_10,408604,0,
edge_11,5580,0,
edge_12,7772,0,
edge_13,4939,0,
edge_14,2732,0,
edge_15,1236724,0,
edge_16,1394987,0,
edge_17,2293,0,
edge_18,1176,0,
edge_19,13190,0,
edge_20,4586,0,
edge_21,1636,0,
edge_22,2545,0,
edge_23,4784,0,
edge_24,2660,0,
edge_25,883530,0,
edge_26,4098,0,
edge_27,55374,0,
edge_28,2231,0,
edge_29,159541,0,
