plasmid,plasmid_len,label,best_segment,best_cov_frac,best_segment_len,cumulative_cov_frac,n_support,support
p00_len07590_cp08,7590,gray_50_95,edge_4,0.6448,4753955,0.6448,1,edge_4
p01_len07768_cp15,7768,absent,,0.0,0,0.0,0,
p02_len07980_cp25,7980,absent,,0.0,0,0.0,0,
p03_len08236_cp08,8236,absent,,0.0,0,0.0,0,
p04_len08398_cp15,8398,absent,,0.0,0,0.0,0,
p05_len08401_cp25,8401,gray_50_95,edge_4,0.5485,4753955,0.5485,1,edge_4
p06_len08401_cp08,8401,absent,,0.0,0,0.0,0,
p07_len08622_cp15,8622,absent,,0.0,0,0.0,0,
p08_len08828_cp25,8828,absent,,0.0,0,0.0,0,
p09_len09083_cp08,9083,absent,edge_4,0.3522,4753955,0.3522,1,edge_4
p10_len09250_cp15,9250,absent,edge_8,0.1183,11384,0.2,1,edge_8
p11_len09294_cp25,9294,recovered,edge_11,1.0,9295,1.0,1,edge_11
p12_len09294_cp08,9294,recovered,edge_11,1.0,9295,1.0,1,edge_11
p13_len09294_cp15,9294,recovered,edge_11,1.0,9295,1.0,1,edge_11
p14_len09396_cp25,9396,recovered,edge_12,1.0,9396,1.0,1,edge_12
p15_len09639_cp08,9639,recovered,edge_6,1.0,9639,1.0,1,edge_6
p16_len09730_cp15,9730,recovered,edge_9,0.9856,9730,0.9856,1,edge_9
p17_len10046_cp25,10046,recovered,edge_10,1.0,18762,1.0,1,edge_10
p18_len10060_cp08,10060,recovered,edge_16,1.0,20073,1.0,1,edge_16
p19_len10060_cp15,10060,recovered,edge_16,1.0,20073,1.0,1,edge_16
p20_len10060_cp25,10060,recovered,edge_16,1.0,20073,1.0,1,edge_16
p21_len10494_cp08,10494,recovered,edge_13,1.0,10494,1.0,1,edge_13
p22_len10650_cp15,10650,recovered,edge_3,1.0,18855,1.0,1,edge_3
p23_len10802_cp25,10802,recovered,edge_7,1.0,10802,1.0,1,edge_7
p24_len11246_cp08,11246,recovered,edge_8,1.0,11384,1.0,1,edge_8
p25_len11675_cp15,11675,recovered,edge_15,1.0,23340,1.0,1,edge_15
p26_len11857_cp25,11857,recovered,edge_14,1.0,11857,1.0,1,edge_14
