segment,seg_len,node_positive,mechanisms
edge_1,5193,0,
edge_2,27190,0,
edge_3,1530915,0,
edge_4,351932,0,
edge_5,1188767,0,
edge_6,1385515,0,
edge_7,667,0,
edge_8,1787,0,
edge_9,1059,0,
edge_10,1734,0,
edge_11,567,0,
edge_12,547,0,
edge_13,201639,0,
edge_14,1087,0,
edge_15,36148,0,
edge_16,1830,0,
edge_17,1144,0,
edge_18,1135,0,
edge_19,556,0,
edge_20,560,0,
edge_21,3997,0,
edge_22,1902,0,
edge_23,2309,0,
edge_24,3416,0,
edge_25,1064,0,
edge_26,1725,0,
edge_27,4126,0,
edge_28,576,0,
edge_29,7831,0,
edge_30,1165,0,
edge_31,993,0,
edge_32,18052,0,
edge_33,27091,0,
edge_34,8009,0,
edge_35,70830,0,
edge_36,4167,0,
