#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_14	3754675	14	N	N	1	*	20,21,22,20,21,22,23,14,18
contig_10	291939	14	N	N	1	*	5,10,-29
contig_4	263413	15	N	N	1	*	-3,1,4,-27,-23,-20,-19,-24,-18
contig_26	211781	13	N	N	1	*	35,26
contig_6	103452	14	N	N	1	*	1,-3,2,6,8,8
contig_37	70830	28	Y	Y	2	*	37
contig_32	61913	12	N	N	1	*	-3,2,32
contig_36	43622	15	N	N	1	*	24,19,20,19,20,21,22,23,36
contig_9	40095	14	N	N	1	*	9,-5
contig_7	37551	18	N	N	1	*	*,-16,-15,-15,7,18
contig_31	21867	19	N	N	1	*	30,30,31,-35
contig_35	18177	17	N	Y	1	*	35
contig_28	10703	7	N	N	1	*	23,25,19,20,21,22,23,28,-35
contig_13	5240	6	N	N	1	*	*,13,*
contig_34	4251	89	Y	Y	7	*	34
contig_33	4175	9	Y	Y	1	2	33
contig_17	1601	4	N	Y	1	*	*,17
contig_11	856	50	Y	Y	4	*	11
