#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_13	1757552	28	N	N	1	*	-2,-2,-4,-3,-3,-2,-1,13,-14,-10,1,2,3,4,2,2
contig_17	953111	29	N	N	1	*	17,*
contig_12	725142	28	N	N	1	*	-2,-2,-4,-3,-2,-1,12,-11
contig_9	716721	28	N	N	1	*	9,5
contig_24	636278	28	N	N	1	*	24
contig_7	224587	29	N	N	1	*	7,-10,-6,1,2,3,4,2,2,8,2
contig_26	79502	119	Y	Y	4	*	26
contig_23	17395	97	Y	Y	4	*	23
contig_16	7430	32	N	Y	3	*	16
contig_25	5386	19	N	Y	3	*	25
contig_22	4773	17	N	Y	1	*	22
contig_15	4537	23	N	Y	1	*	15
contig_21	3812	9	Y	Y	1	*	21
contig_18	3123	19	N	Y	1	*	18
contig_19	613	10	N	Y	1	*	19
contig_20	608	20	N	Y	2	*	20
