segment,seg_len,node_positive,mechanisms
edge_1,45697,1,fragmented
edge_2,616390,0,
edge_3,820,0,
edge_4,727,0,
edge_5,4343,0,
edge_6,682,0,
edge_7,5273,0,
edge_8,3643,0,
edge_9,1044,0,
edge_10,176351,1,fragmented
edge_11,3919,0,
edge_12,1221753,0,
edge_13,4735,0,
edge_14,871,0,
edge_15,553411,0,
edge_16,1214061,0,
edge_17,2482,0,
edge_18,1182,0,
edge_19,879,0,
edge_20,3196,0,
edge_21,4057,0,
edge_22,1103209,0,
edge_23,2390,0,
edge_24,2408,0,
edge_25,1021,0,
edge_26,55634,0,
edge_27,7344,0,
edge_28,2692,0,
