chromosome	7727	137439438
junk_seq	94	1587422
p00_len07590_cp08	12	44991
p01_len07768_cp15	36	134795
p02_len07980_cp25	69	339037
p03_len08236_cp08	32	148644
p04_len08398_cp15	39	151636
p05_len08401_cp25	81	326311
p06_len08401_cp08	26	129467
p07_len08622_cp15	54	241068
p08_len08828_cp25	101	456718
p09_len09083_cp08	38	182051
p10_len09250_cp15	53	208680
p11_len09294_cp25	105	482683
p12_len09294_cp08	36	203421
p13_len09294_cp15	72	347963
p14_len09396_cp25	110	515759
p15_len09639_cp08	39	226554
p16_len09730_cp15	66	388723
p17_len10046_cp25	112	573935
p18_len10060_cp08	42	221004
p19_len10060_cp15	64	342188
p20_len10060_cp25	120	644140
p21_len10494_cp08	44	237532
p22_len10650_cp15	84	535291
p23_len10802_cp25	138	774008
p24_len11246_cp08	53	292704
p25_len11675_cp15	111	710454
p26_len11857_cp25	176	1192404
random_seq	89	1370630
