#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_6	2839100	14	N	N	1	*	28,6,27,8,12,13,14
contig_7	1235678	14	N	N	1	*	-12,-8,-27,7
contig_11	302919	14	N	N	1	*	15,-14,-13,-12,-8,11,16,16
contig_10	228643	14	N	N	1	*	-14,-13,-12,-13,-12,-8,10
contig_1	210246	14	Y	N	1	*	1
contig_17	70322	14	N	N	1	*	-16,17,-22
contig_22	56309	33	N	Y	2	*	22
contig_18	40818	15	N	N	1	*	28,18,22
contig_9	40550	12	N	N	1	*	-13,-12,-8,9,-15
contig_19	32350	8	N	N	1	*	22,19,22
contig_3	5321	441	N	Y	34	*	3
contig_23	4781	7	N	Y	1	4	*,23,*
contig_5	2311	11	N	Y	1	*	5
contig_25	778	4	N	Y	1	6	*,25,*
contig_2	553	19	N	Y	6	*	2
