plasmid,plasmid_len,label,best_segment,best_cov_frac,best_segment_len,cumulative_cov_frac,n_support,support
p00_len07590_cp08,7590,gray_50_95,edge_4,0.6452,4752780,0.6452,1,edge_4
p01_len07768_cp15,7768,absent,edge_7,0.0431,16547,0.0431,0,
p02_len07980_cp25,7980,absent,edge_7,0.3223,16547,0.3223,1,edge_7
p03_len08236_cp08,8236,absent,edge_4,0.1872,4752780,0.1872,1,edge_4
p04_len08398_cp15,8398,gray_50_95,edge_4,0.6093,4752780,0.6093,1,edge_4
p05_len08401_cp25,8401,gray_50_95,edge_4,0.6093,4752780,0.6093,1,edge_4
p06_len08401_cp08,8401,gray_50_95,edge_4,0.6093,4752780,0.6093,1,edge_4
p07_len08622_cp15,8622,absent,edge_4,0.2466,4752780,0.2466,1,edge_4
p08_len08828_cp25,8828,recovered,edge_11,0.9991,8828,0.9991,1,edge_11
p09_len09083_cp08,9083,recovered,edge_12,0.9773,9100,0.9773,2,edge_12;edge_4
p10_len09250_cp15,9250,gray_50_95,edge_7,0.8703,16547,0.8703,1,edge_7
p11_len09294_cp25,9294,recovered,edge_13,0.9849,17934,0.9849,1,edge_13
p12_len09294_cp08,9294,recovered,edge_13,1.0,17934,1.0,1,edge_13
p13_len09294_cp15,9294,recovered,edge_13,1.0,17934,1.0,1,edge_13
p14_len09396_cp25,9396,recovered,edge_17,1.0,18783,1.0,1,edge_17
p15_len09639_cp08,9639,recovered,edge_2,1.0,9638,1.0,1,edge_2
p16_len09730_cp15,9730,recovered,edge_15,1.0,9730,1.0,1,edge_15
p17_len10046_cp25,10046,recovered,edge_9,1.0,10046,1.0,1,edge_9
p18_len10060_cp08,10060,recovered,edge_10,1.0,20024,1.0,1,edge_10
p19_len10060_cp15,10060,recovered,edge_10,1.0,20024,1.0,1,edge_10
p20_len10060_cp25,10060,recovered,edge_10,1.0,20024,1.0,1,edge_10
p21_len10494_cp08,10494,recovered,edge_1,1.0,18854,1.0,1,edge_1
p22_len10650_cp15,10650,recovered,edge_3,1.0,5324,1.0,1,edge_3
p23_len10802_cp25,10802,recovered,edge_16,1.0,10802,1.0,1,edge_16
p24_len11246_cp08,11246,recovered,edge_6,1.0,11246,1.0,1,edge_6
p25_len11675_cp15,11675,recovered,edge_14,1.0,11675,1.0,1,edge_14
p26_len11857_cp25,11857,recovered,edge_8,0.9997,11856,0.9997,1,edge_8
